,idx,delta_confirmed,date,country,region
149,308,158,2021-01-29,Ukraine,Vinnytsia
150,308,157,2021-01-30,Ukraine,Vinnytsia
151,308,160,2021-01-31,Ukraine,Vinnytsia
152,308,166,2021-02-01,Ukraine,Vinnytsia
153,308,162,2021-02-02,Ukraine,Vinnytsia
154,308,88,2021-01-27,Ukraine,Volynska
155,308,90,2021-01-28,Ukraine,Volynska
156,308,86,2021-01-29,Ukraine,Volynska
157,308,84,2021-01-30,Ukraine,Volynska
158,308,81,2021-01-31,Ukraine,Volynska
159,308,82,2021-02-01,Ukraine,Volynska
160,308,76,2021-02-02,Ukraine,Volynska
161,308,130,2021-01-27,Ukraine,Zakarpatska
162,308,138,2021-01-28,Ukraine,Zakarpatska
163,308,143,2021-01-29,Ukraine,Zakarpatska
164,308,141,2021-01-30,Ukraine,Zakarpatska
165,308,145,2021-01-31,Ukraine,Zakarpatska
166,308,146,2021-02-01,Ukraine,Zakarpatska
167,308,150,2021-02-02,Ukraine,Zakarpatska
168,308,384,2021-01-27,Ukraine,Zaporizka
169,308,378,2021-01-28,Ukraine,Zaporizka
170,308,367,2021-01-29,Ukraine,Zaporizka
171,308,365,2021-01-30,Ukraine,Zaporizka
172,308,378,2021-01-31,Ukraine,Zaporizka
173,308,387,2021-02-01,Ukraine,Zaporizka
174,308,372,2021-02-02,Ukraine,Zaporizka
175,308,118,2021-01-27,Ukraine,Zhytomyrskа
176,308,105,2021-01-28,Ukraine,Zhytomyrskа
177,308,110,2021-01-29,Ukraine,Zhytomyrskа
178,308,110,2021-01-30,Ukraine,Zhytomyrskа
179,308,98,2021-01-31,Ukraine,Zhytomyrskа
180,308,101,2021-02-01,Ukraine,Zhytomyrskа
181,308,106,2021-02-02,Ukraine,Zhytomyrskа
